# ############################################################################### 
# # IHSpin
# # horizon no.=1
# # gnuplot column index:
# # 1:t 2:Sx 3:Sy 4:Sz 5:Px 6:Py 7:Pz
# 
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.535714285714288772e-03	2.969612789372824460e-16	-5.432473610830742950e-15	-7.338230793823929068e-15	5.534407619798373138e-05	-1.741854218381104413e-12	1.817264857273953723e-12
1.107142857142857754e-02	6.332520098019502754e-16	-5.317344629885359276e-15	-1.595802402696930032e-14	1.107824269847650881e-04	-3.773610391898940777e-12	2.552402462830873979e-12
1.660714285714286545e-02	1.010085148594418384e-15	7.720219364850732690e-16	-2.603016919142953592e-14	1.663021804893026294e-04	-6.132626076675453167e-12	2.118040635041988073e-12
2.214285714285715509e-02	2.157114672254508466e-15	1.305928943780647300e-14	-3.764821350169923066e-14	2.219269075461858013e-04	-8.838604333525458147e-12	4.889059288933578483e-13
2.767857142857144473e-02	2.766534161967460169e-15	3.182834148942400743e-14	-4.914390280635468833e-14	2.776649333334711136e-04	-1.149456733382813157e-11	-2.382897936558689360e-12
3.321428571428573090e-02	3.116780301387982301e-15	5.645177297162759331e-14	-5.624261955410428441e-14	3.335404471780176053e-04	-1.310589744282904916e-11	-6.474860500284042861e-12
3.875000000000002054e-02	3.379578448100802251e-15	8.925673361025034273e-14	-6.214325449779727807e-14	3.895901048852938521e-04	-1.442684274574620140e-11	-1.200786698331675951e-11
4.428571428571431018e-02	3.430614608629534732e-15	1.303980643405283316e-13	-6.452371204828798079e-14	4.457745767136968903e-04	-1.492251016785899914e-11	-1.914754627777978508e-11
4.982142857142859982e-02	3.245598761636267862e-15	1.603881974497232926e-13	-6.240238377864456128e-14	5.021743661758696622e-04	-1.437783595599099871e-11	-2.469744340515133852e-11
5.535714285714288946e-02	2.913795741341768893e-15	1.877714418419774252e-13	-5.740797718652253525e-14	5.588319595716381618e-04	-1.317668027884709960e-11	-3.004752225447440580e-11
6.089285714285717910e-02	2.493653072163047177e-15	2.187588378558667959e-13	-5.033320587962641011e-14	6.155614675198878586e-04	-1.150648889321869574e-11	-3.634559451817339939e-11
6.642857142857146180e-02	1.967327594010446176e-15	2.388043866936877352e-13	-4.075778279473883074e-14	6.725676210373680158e-04	-9.278776788257102434e-12	-4.113842022712590066e-11
7.196428571428575838e-02	1.353303056446999831e-15	2.552105933029140483e-13	-2.895378779499595105e-14	7.297690814307229625e-04	-6.559774463833782470e-12	-4.550419479994475595e-11
7.750000000000004108e-02	7.856804009761607475e-16	2.704903491722490263e-13	-1.593529347553657885e-14	7.872287445575574865e-04	-3.594120683336661471e-12	-4.981655702204460103e-11
8.303571428571433766e-02	-1.265835087029668677e-17	2.824477438023137042e-13	2.058371424689673753e-16	8.448612009537781681e-04	5.537532880318972582e-14	-5.343542858509830515e-11
8.857142857142862036e-02	-1.025195319886939694e-15	2.931451563476319488e-13	1.966869292843574561e-14	9.026586924436624977e-04	4.424897905041600661e-12	-5.699871259921412375e-11
9.410714285714290306e-02	-2.262785799198467820e-15	3.077547141552036735e-13	4.255912170011666395e-14	9.606673530297127860e-04	9.529037944654476542e-12	-6.142313496995309064e-11
9.964285714285719964e-02	-3.779573773176047990e-15	3.238929270500364557e-13	6.957254788697402505e-14	1.018621636182496159e-03	1.550634834986565132e-11	-6.664769810806990595e-11
1.051785714285714823e-01	-5.606170928263108119e-15	3.396932057145413846e-13	1.004995930739964072e-13	1.076829626834402377e-03	2.230459508724603464e-11	-7.203946969659473494e-11
1.107142857142857789e-01	-7.672449902782848326e-15	3.539703676146436840e-13	1.354150898284952077e-13	1.135501083265173317e-03	2.993547611211824582e-11	-7.727411071876556781e-11
1.162500000000000616e-01	-1.000684614103049176e-14	3.563437522261076346e-13	1.742756271777242545e-13	1.194550172285814690e-03	3.837399823638686739e-11	-8.007372444623586046e-11
1.217857142857143582e-01	-1.263835396481875056e-14	3.346859833890887239e-13	2.175446744773594279e-13	1.253706204069696736e-03	4.771044141526781421e-11	-7.672190467503064723e-11
1.273214285714286409e-01	-8.155763123259381618e-15	3.085481593238618009e-13	2.480875981862614919e-13	1.313126717041367218e-03	5.418099774766206101e-11	-7.225608348293743089e-11
1.328571428571429236e-01	-8.637457200646927720e-15	2.701831849305693015e-13	2.590786140164799504e-13	1.372675262379649541e-03	5.636491032526300120e-11	-6.466600399714969232e-11
1.383928571428572063e-01	-8.519713325268244205e-15	2.202296535528182908e-13	2.684266219338304109e-13	1.432427477980260846e-03	5.817276893991807240e-11	-5.423659139312857352e-11
1.439285714285715168e-01	-8.681146336708213736e-15	1.652097358283268598e-13	2.688755015459171993e-13	1.492320912662365058e-03	5.804878833480872075e-11	-4.284467365972546531e-11
1.494642857142857995e-01	-8.436970592096514017e-15	1.073770697413547768e-13	2.583651037175934118e-13	1.552162943620533217e-03	5.556817199510511979e-11	-3.116442452450270248e-11
1.550000000000000822e-01	-7.618943489581096784e-15	4.131511053816960371e-14	2.462308646251912231e-13	1.612221485150960257e-03	5.275845517783464919e-11	-1.792472402505543754e-11
1.605357142857143649e-01	-7.281112127180836847e-15	-3.374520683622220795e-14	2.340253012433545218e-13	1.672669084025753261e-03	4.995447786060198460e-11	-3.039850676901723976e-12
1.660714285714286753e-01	-6.932929632223523280e-15	-1.167029663661453147e-13	2.221379610018970859e-13	1.733549476336825263e-03	4.723851340749079694e-11	1.335827081585378709e-11
