# # Time 	 R_dot 	 Theta_dot 
# 
2.380573381999999960e-01	-8.881677909999999385e-05	-1.260407792542858968e-16
2.435930524999999902e-01	-9.928247915999999663e-05	-1.343436095581297162e-16
2.491287667000000039e-01	-1.105733181799999933e-04	-1.384945992707499787e-16
2.546644809999999981e-01	-1.227185058199999936e-04	-1.376335289488832093e-16
2.602001952999999923e-01	-1.357468251799999980e-04	-1.326550980433257694e-16
2.657359095999999865e-01	-1.496856862600000131e-04	-1.264070237938051359e-16
2.712716238999999807e-01	-1.645620051400000124e-04	-1.228835838087706626e-16
2.768073381999999749e-01	-1.804013279200000015e-04	-1.251638990017489683e-16
2.823430525000000246e-01	-1.972286291199999947e-04	-1.338289519075258333e-16
2.878787667000000106e-01	-2.150674199999999948e-04	-1.468315919908127641e-16
2.934144810000000048e-01	-2.339403792000000132e-04	-1.607361793070675117e-16
2.989501952999999990e-01	-2.538684579999999887e-04	-1.726915133736644885e-16
3.044859095999999932e-01	-2.748715090000000173e-04	-1.822518092615055195e-16
3.100216238999999874e-01	-2.969677702000000008e-04	-1.923407178398079038e-16
3.155573381999999816e-01	-3.201749178000000092e-04	-2.082674296535604915e-16
3.210930524999999758e-01	-3.445101297999999786e-04	-2.348236098669386190e-16
3.266287667000000172e-01	-3.699912737999999949e-04	-2.737947929774642088e-16
3.321644810000000114e-01	-3.966365165999999895e-04	-3.231351194680471319e-16
3.377001953000000056e-01	-4.244643468000000065e-04	-3.782590505875739543e-16
3.432359095999999998e-01	-4.534916830000000208e-04	-4.343952764907956802e-16
3.487716238999999940e-01	-4.837328130000000137e-04	-4.880219677090100091e-16
3.543073381999999882e-01	-5.151977506000000222e-04	-5.372709379149745406e-16
3.598430524999999824e-01	-5.478926952000000164e-04	-5.812336006609036458e-16
3.653787667000000239e-01	-5.818212604000000095e-04	-6.191975744686766670e-16
3.709144810000000181e-01	-6.169871377999999740e-04	-6.501980774308192115e-16
3.764501953000000123e-01	-6.533961712000000213e-04	-6.737093607239636583e-16
3.819859096000000065e-01	-6.910574152000000534e-04	-6.909122719554298958e-16
3.875216239000000007e-01	-7.299818000000000452e-04	-7.045846796521853579e-16
3.930573381999999949e-01	-7.701799576000000142e-04	-7.171570887788755962e-16
3.985930524999999891e-01	-8.116593165999999625e-04	-7.286630360092730177e-16
4.041287666999999750e-01	-8.544231706000000436e-04	-7.368049286956948761e-16
4.096644810000000247e-01	-8.984712570000000275e-04	-7.386617870172402296e-16
4.152001953000000189e-01	-9.438021291999999698e-04	-7.282419274317544840e-16
4.207359096000000132e-01	-9.904154932000000695e-04	-7.119997044967792060e-16
4.262716239000000074e-01	-1.038313382200000074e-03	-6.864990698750252855e-16
4.318073382000000016e-01	-1.087499481599999915e-03	-6.536444135008421301e-16
4.373430524999999958e-01	-1.137977491399999987e-03	-6.173783616626641687e-16
4.428787666999999817e-01	-1.189749323799999979e-03	-5.821436821723545674e-16
4.484144809999999759e-01	-1.242814614999999999e-03	-5.507992561096832719e-16
4.539501953000000256e-01	-1.297171252199999991e-03	-5.230791794501222000e-16
4.594859096000000198e-01	-1.352816476199999963e-03	-4.955151001076076367e-16
4.650216239000000140e-01	-1.409747581200000060e-03	-4.626903908258948278e-16
4.705573382000000082e-01	-1.467961764800000072e-03	-4.198693380686648571e-16
4.760930525000000024e-01	-1.527455628600000006e-03	-3.662598690964536417e-16
4.816287666999999884e-01	-1.588224897999999941e-03	-3.057900648002267179e-16
4.871644809999999826e-01	-1.650265003999999919e-03	-2.447908921200753356e-16
4.927001952999999768e-01	-1.713571955400000103e-03	-1.887274678539481072e-16
4.982359096000000265e-01	-1.778142996800000097e-03	-1.405758343070849868e-16
5.037716238999999652e-01	-1.843976130400000035e-03	-1.013228320442771706e-16
5.093073381999999594e-01	-1.911068848800000046e-03	-7.131569200937830615e-17
5.148430524999999536e-01	-1.979416786999999792e-03	-5.183705636961478948e-17
5.203787667000000505e-01	-2.049013448000000081e-03	-4.528198699654564748e-17
5.259144810000000447e-01	-2.119851022000000199e-03	-5.428847435562006690e-17
5.314501953000000389e-01	-2.191922128000000150e-03	-8.071399041819386975e-17
5.369859096000000331e-01	-2.265220754000000104e-03	-1.248897169629344442e-16
5.425216239000000273e-01	-2.339742320000000146e-03	-1.854653872373287211e-16
5.480573382000000215e-01	-2.415482469999999902e-03	-2.532833746849137980e-16
5.535930525000000157e-01	-2.492435930000000063e-03	-3.344434494419775325e-16
5.591287667000000017e-01	-2.570595972000000191e-03	-4.185778965535334359e-16
5.646644809999999959e-01	-2.649955032000000151e-03	-5.024219659917280522e-16
5.702001952999999901e-01	-2.730505498000000003e-03	-5.844751639663162768e-16
5.757359095999999843e-01	-2.812240446000000092e-03	-6.646236222590187497e-16
5.812716238999999785e-01	-2.895153399999999839e-03	-7.431641246807748891e-16
5.868073381999999727e-01	-2.979237952000000130e-03	-8.199098352182445573e-16
5.923430524999999669e-01	-3.064487217999999850e-03	-8.936770911793398452e-16
5.978787666999999528e-01	-3.150893964000000148e-03	-9.619707364148023080e-16
6.034144809999999470e-01	-3.238450722000000073e-03	-1.021285849012518940e-15
6.089501953000000523e-01	-3.327150186000000197e-03	-1.067530930023906867e-15
6.144859096000000465e-01	-3.416985072000000134e-03	-1.096833397096853912e-15
6.200216239000000407e-01	-3.507948154000000134e-03	-1.106499611740566964e-15
6.255573382000000349e-01	-3.600032052000000198e-03	-1.094290055897768743e-15
6.310930525000000291e-01	-3.693229424000000170e-03	-1.058381686947034089e-15
6.366287667000000150e-01	-3.787532872000000123e-03	-9.980514153403724361e-16
6.421644810000000092e-01	-3.882935063999999863e-03	-9.150040951211271568e-16
6.477001953000000034e-01	-3.979428438000000116e-03	-8.138738885712017566e-16
6.532359095999999976e-01	-4.077005296000000417e-03	-7.010368419150705101e-16
6.587716238999999918e-01	-4.175657775999999655e-03	-5.835640189173826039e-16
6.643073381999999860e-01	-4.275378277999999574e-03	-4.687943600651363189e-16
6.698430524999999802e-01	-4.376159418000000190e-03	-3.638431453665169422e-16
6.753787666999999661e-01	-4.477994079999999578e-03	-2.664041585942232334e-16
6.809144809999999604e-01	-4.580875049999999678e-03	-1.941025616970246679e-16
