# ############################################################################### 
# # ProperDistance.asc
# # 1:it	2:time	3:distance
# 
9.216000000000000000e+03	1.992857142999999998e-01	1.581363265999999967e+01
9.472000000000000000e+03	2.048214285999999940e-01	1.581362237999999998e+01
9.728000000000000000e+03	2.103571428999999882e-01	1.581359111999999989e+01
9.984000000000000000e+03	2.158928571000000018e-01	1.581353836999999984e+01
1.024000000000000000e+04	2.214285713999999960e-01	1.581346367999999991e+01
1.049600000000000000e+04	2.269642856999999903e-01	1.581336660999999921e+01
1.075200000000000000e+04	2.325000000000000122e-01	1.581324679000000089e+01
1.100800000000000000e+04	2.380357143000000064e-01	1.581310387999999989e+01
1.126400000000000000e+04	2.435714286000000006e-01	1.581293759000000065e+01
1.152000000000000000e+04	2.491071428999999948e-01	1.581274765000000038e+01
1.177600000000000000e+04	2.546428571000000085e-01	1.581253382999999957e+01
1.203200000000000000e+04	2.601785714000000027e-01	1.581229596000000015e+01
1.228800000000000000e+04	2.657142856999999969e-01	1.581203385000000061e+01
1.254400000000000000e+04	2.712499999999999911e-01	1.581174737999999991e+01
1.280000000000000000e+04	2.767857142999999853e-01	1.581143643999999959e+01
1.305600000000000000e+04	2.823214285999999795e-01	1.581110095999999920e+01
1.331200000000000000e+04	2.878571428999999737e-01	1.581074087000000006e+01
1.356800000000000000e+04	2.933928571000000152e-01	1.581035613000000062e+01
1.382400000000000000e+04	2.989285714000000094e-01	1.580994674000000089e+01
1.408000000000000000e+04	3.044642857000000036e-01	1.580951270999999991e+01
1.433600000000000000e+04	3.099999999999999978e-01	1.580905405000000030e+01
1.459200000000000000e+04	3.155357142999999920e-01	1.580857081000000086e+01
1.484800000000000000e+04	3.210714285999999862e-01	1.580806304999999945e+01
1.510400000000000000e+04	3.266071428999999804e-01	1.580753080999999938e+01
1.536000000000000000e+04	3.321428571000000218e-01	1.580697415999999933e+01
1.561600000000000000e+04	3.376785714000000160e-01	1.580639318999999965e+01
1.587200000000000000e+04	3.432142857000000102e-01	1.580578797999999985e+01
1.612800000000000000e+04	3.487500000000000044e-01	1.580515862999999932e+01
1.638400000000000000e+04	3.542857142999999986e-01	1.580450528000000077e+01
1.664000000000000000e+04	3.598214285999999928e-01	1.580382806999999978e+01
1.689600000000000000e+04	3.653571428999999871e-01	1.580312714999999990e+01
1.715200000000000000e+04	3.708928570999999730e-01	1.580240268999999920e+01
1.740800000000000000e+04	3.764285714000000227e-01	1.580165489000000001e+01
1.766400000000000000e+04	3.819642857000000169e-01	1.580088383000000007e+01
1.792000000000000000e+04	3.875000000000000111e-01	1.580008965999999937e+01
1.817600000000000000e+04	3.930357143000000053e-01	1.579927250000000072e+01
1.843200000000000000e+04	3.985714285999999995e-01	1.579843250000000054e+01
1.868800000000000000e+04	4.041071428999999937e-01	1.579756983000000048e+01
1.894400000000000000e+04	4.096428570999999796e-01	1.579668466999999943e+01
1.920000000000000000e+04	4.151785713999999738e-01	1.579577717999999997e+01
1.945600000000000000e+04	4.207142857000000236e-01	1.579484749999999948e+01
1.971200000000000000e+04	4.262500000000000178e-01	1.579389581999999947e+01
1.996800000000000000e+04	4.317857143000000120e-01	1.579292236999999943e+01
2.022400000000000000e+04	4.373214286000000062e-01	1.579192744000000026e+01
2.048000000000000000e+04	4.428571429000000004e-01	1.579091103999999923e+01
2.073600000000000000e+04	4.483928570999999863e-01	1.578987331999999988e+01
2.099200000000000000e+04	4.539285713999999805e-01	1.578881445000000028e+01
2.124800000000000000e+04	4.594642856999999747e-01	1.578773458999999946e+01
2.150400000000000000e+04	4.650000000000000244e-01	1.578663388000000012e+01
2.176000000000000000e+04	4.705357143000000186e-01	1.578551258999999973e+01
2.201600000000000000e+04	4.760714286000000128e-01	1.578437111000000037e+01
2.227200000000000000e+04	4.816071429000000070e-01	1.578320934999999992e+01
2.252800000000000000e+04	4.871428570999999930e-01	1.578202746999999917e+01
2.278400000000000000e+04	4.926785713999999872e-01	1.578082561000000084e+01
2.304000000000000000e+04	4.982142856999999814e-01	1.577960393000000039e+01
2.329600000000000000e+04	5.037500000000000311e-01	1.577836287000000048e+01
2.355200000000000000e+04	5.092857143000000253e-01	1.577710249999999981e+01
2.380800000000000000e+04	5.148214286000000195e-01	1.577582284000000001e+01
2.406400000000000000e+04	5.203571429000000137e-01	1.577452399000000050e+01
2.432000000000000000e+04	5.258928570999999996e-01	1.577320622000000050e+01
2.457600000000000000e+04	5.314285713999999938e-01	1.577187005000000042e+01
2.483200000000000000e+04	5.369642856999999880e-01	1.577051523999999993e+01
2.508800000000000000e+04	5.424999999999999822e-01	1.576914191000000010e+01
2.534400000000000000e+04	5.480357142999999764e-01	1.576775033000000015e+01
2.560000000000000000e+04	5.535714285999999706e-01	1.576634102000000048e+01
2.585600000000000000e+04	5.591071428999999648e-01	1.576491369000000020e+01
2.611200000000000000e+04	5.646428570999999508e-01	1.576346850999999916e+01
2.636800000000000000e+04	5.701785713999999450e-01	1.576200597999999964e+01
2.662400000000000000e+04	5.757142857000000502e-01	1.576052613000000058e+01
2.688000000000000000e+04	5.812500000000000444e-01	1.575902888999999973e+01
2.713600000000000000e+04	5.867857143000000386e-01	1.575751471000000059e+01
2.739200000000000000e+04	5.923214286000000328e-01	1.575598379999999921e+01
2.764800000000000000e+04	5.978571429000000270e-01	1.575443598999999928e+01
2.790400000000000000e+04	6.033928571000000129e-01	1.575287179999999942e+01
2.816000000000000000e+04	6.089285714000000072e-01	1.575129128000000023e+01
2.841600000000000000e+04	6.144642857000000014e-01	1.574969437999999933e+01
2.867200000000000000e+04	6.199999999999999956e-01	1.574808179999999957e+01
2.892800000000000000e+04	6.255357142999999898e-01	1.574645319999999948e+01
2.918400000000000000e+04	6.310714285999999840e-01	1.574480894999999947e+01
2.944000000000000000e+04	6.366071428999999782e-01	1.574314930999999973e+01
2.969600000000000000e+04	6.421428570999999641e-01	1.574147418999999992e+01
2.995200000000000000e+04	6.476785713999999583e-01	1.573978424999999959e+01
3.020800000000000000e+04	6.532142856999999525e-01	1.573807912000000009e+01
3.046400000000000000e+04	6.587499999999999467e-01	1.573635947000000002e+01
3.072000000000000000e+04	6.642857143000000519e-01	1.573462508000000071e+01
3.097600000000000000e+04	6.698214286000000461e-01	1.573287645999999995e+01
3.123200000000000000e+04	6.753571429000000403e-01	1.573111354999999989e+01
