# # Time 	 Separation 	 Orbital Phase 
# 
1.550216238999999885e-01	2.337285527999999779e+00	-1.582835946948113151e-18
1.605573382000000104e-01	2.337285468000000144e+00	-1.826857766609790783e-18
1.660930525000000046e-01	2.337285395999999960e+00	-2.092700652804660937e-18
1.716287666999999906e-01	2.337285307999999784e+00	-2.381058720966383546e-18
1.771644810000000125e-01	2.337285201999999895e+00	-2.692892540719555806e-18
1.827001953000000067e-01	2.337285077999999849e+00	-3.028977428828645218e-18
1.882359096000000009e-01	2.337284930000000038e+00	-3.389602919315446565e-18
1.937716238999999951e-01	2.337284758000000018e+00	-3.774615579810322798e-18
1.993073381999999893e-01	2.337284560000000067e+00	-4.183680217354450082e-18
2.048430525000000113e-01	2.337284330000000132e+00	-4.617048690006833735e-18
2.103787666999999972e-01	2.337284063999999884e+00	-5.076822137610741218e-18
2.159144809999999914e-01	2.337283762000000209e+00	-5.568230441503404603e-18
2.214501953000000134e-01	2.337283419999999889e+00	-6.099725450497569048e-18
2.269859096000000076e-01	2.337283030000000039e+00	-6.681451253252799914e-18
2.325216239000000018e-01	2.337282592000000214e+00	-7.321266996370115504e-18
2.380573381999999960e-01	2.337282099999999918e+00	-8.018992593149111739e-18
2.435930524999999902e-01	2.337281550000000152e+00	-8.762680259894233593e-18
2.491287667000000039e-01	2.337280938000000141e+00	-9.529346591539265600e-18
2.546644809999999981e-01	2.337280259999999998e+00	-1.029124625388313442e-17
2.602001952999999923e-01	2.337279507999999950e+00	-1.102558674381703381e-17
2.657359095999999865e-01	2.337278679999999831e+00	-1.172533965868374862e-17
2.712716238999999807e-01	2.337277767999999867e+00	-1.240558780688320901e-17
2.768073381999999749e-01	2.337276769999999892e+00	-1.309845909263026775e-17
2.823430525000000246e-01	2.337275678000000134e+00	-1.383929759097933789e-17
2.878787667000000106e-01	2.337274487999999817e+00	-1.465211491240133792e-17
2.934144810000000048e-01	2.337273192000000055e+00	-1.554190399493530659e-17
2.989501952999999990e-01	2.337271786000000073e+00	-1.649787429556555624e-17
3.044859095999999932e-01	2.337270265999999985e+00	-1.750676757208188442e-17
3.100216238999999874e-01	2.337268621999999851e+00	-1.857151008293474797e-17
3.155573381999999816e-01	2.337266849999999785e+00	-1.972441819384038388e-17
3.210930524999999758e-01	2.337264942000000012e+00	-2.102433355199831634e-17
3.266287667000000172e-01	2.337262894000000202e+00	-2.253998196575998677e-17
3.321644810000000114e-01	2.337260698000000136e+00	-2.432876398796999000e-17
3.377001953000000056e-01	2.337258348000000208e+00	-2.642269591328891084e-17
3.432359095999999998e-01	2.337255837999999919e+00	-2.882738146357771903e-17
