# #Time 	 Real 	 Imaginary 	 Amplitude 	 Phase 
# 
1.691428571428572880e+01	-1.962094590910613533e-08	1.439500259355465932e-07	1.452810775194505820e-07	-1.706265366977600673e+00
1.737142857142858432e+01	-1.956325221373916114e-08	1.443520903900398820e-07	1.456717091172909143e-07	-1.705500180894200746e+00
1.782857142857144339e+01	-1.953258244585488249e-08	1.447417919986526616e-07	1.460537850518957033e-07	-1.704933761891312294e+00
1.828571428571429891e+01	-1.951690998815258963e-08	1.451187379066689533e-07	1.464252637597423808e-07	-1.704483411046025854e+00
1.874285714285715798e+01	-1.948502778576040773e-08	1.454823127523102046e-07	1.467813667723967451e-07	-1.703937985297396818e+00
1.920000000000001705e+01	-1.945300574768086670e-08	1.458317658556899942e-07	1.471234969853833244e-07	-1.703406947996428444e+00
1.965714285714287257e+01	-1.942795506899420436e-08	1.461664782057720434e-07	1.474519745179469896e-07	-1.702938407834195589e+00
2.011428571428573164e+01	-1.937359765308258477e-08	1.464860573961060116e-07	1.477616367582560061e-07	-1.702288776441371665e+00
2.057142857142858716e+01	-1.930327668904341845e-08	1.467900179303463023e-07	1.480537937876809519e-07	-1.701548725479312019e+00
2.102857142857144623e+01	-1.927958722479688823e-08	1.470774520870982664e-07	1.483356983196939002e-07	-1.701137745753491304e+00
2.148571428571430175e+01	-1.927978990007737327e-08	1.473473588459783689e-07	1.486033460507422317e-07	-1.700903029994525362e+00
2.194285714285716082e+01	-1.922151478191087276e-08	1.475992054420082612e-07	1.488455309292938727e-07	-1.700295305002310631e+00
2.240000000000001990e+01	-1.912751710268485378e-08	1.478325883523560565e-07	1.490648720841723413e-07	-1.699467819163342330e+00
2.285714285714287541e+01	-1.908673922778960288e-08	1.480464241352498573e-07	1.492717230877433647e-07	-1.699013081430608585e+00
2.331428571428573449e+01	-1.907874157902655631e-08	1.482392433628853684e-07	1.494619404833218033e-07	-1.698795052859594756e+00
2.377142857142859000e+01	-1.901611752106224756e-08	1.484102106912498348e-07	1.496235387998693672e-07	-1.698234073948592160e+00
2.422857142857144908e+01	-1.891307337907244193e-08	1.485590038005865421e-07	1.497580780955233483e-07	-1.697425308730519999e+00
2.468571428571430459e+01	-1.884715795836401014e-08	1.486847479646933341e-07	1.498745129781308176e-07	-1.696883068483436396e+00
2.514285714285716367e+01	-1.881306850723142942e-08	1.487858544579731315e-07	1.499705372179714101e-07	-1.696572785718897691e+00
2.560000000000002274e+01	-1.875616663443276231e-08	1.488608373890879622e-07	1.500378042194669648e-07	-1.696133838857855292e+00
2.605714285714287826e+01	-1.868361704873721774e-08	1.489086421902529953e-07	1.500761848694477476e-07	-1.695614392447103436e+00
2.651428571428573733e+01	-1.862038092181213200e-08	1.489282283157429678e-07	1.500877602435969777e-07	-1.695180096324406804e+00
2.697142857142859285e+01	-1.853092474307008991e-08	1.489183102601541757e-07	1.500668461138997398e-07	-1.694596792227352600e+00
2.742857142857145192e+01	-1.839803168038579625e-08	1.488774264609421219e-07	1.500099186032234055e-07	-1.693751331684695272e+00
2.788571428571430744e+01	-1.829576514100056372e-08	1.488039200944795252e-07	1.499244531675166622e-07	-1.693134492556305659e+00
2.834285714285716651e+01	-1.827031536625723033e-08	1.486959950736374233e-07	1.498142295462006505e-07	-1.693053798454207559e+00
