# ############################################################################### 
# # ShiftTracker0.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
1.000000000000000000e+00	2.583333333000000127e-03	1.500000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00
2.000000000000000000e+00	5.166666666999999817e-03	1.500000000000000000e+00	5.121649660999999971e-14	6.442606782000000087e-13	-4.237779765000000332e-12	5.947722186999999446e-11	7.481736907999999849e-10	-1.640430877000000050e-09	2.302344073000000145e-08	2.896156222000000127e-07
3.000000000000000000e+00	7.749999999999999944e-03	1.500000000000000000e+00	4.308762096000000036e-13	5.097080383999999857e-12	-1.139538281000000075e-11	1.469650502000000030e-10	1.723672143999999898e-09	-2.770685047999999854e-09	3.386625612000000055e-08	3.776123044999999995e-07
4.000000000000000000e+00	1.033333332999999965e-02	1.500000000000000000e+00	1.260080779999999904e-12	1.140366326999999993e-11	-7.614520830999999954e-11	7.565049709999999793e-10	4.851927844000000296e-09	-2.506444857999999970e-08	2.359509370999999978e-07	1.210937690000000054e-06
5.000000000000000000e+00	1.291666667000000018e-02	1.500000000000000000e+00	5.414862401000000356e-12	3.441771140999999925e-11	-1.651177708999999968e-10	1.608302562999999980e-09	8.908663796000000330e-09	-3.444099197999999827e-08	3.297281000999999868e-07	1.570349400999999974e-06
6.000000000000000000e+00	1.549999999999999989e-02	1.500000000000000000e+00	1.307456152000000061e-11	5.296566540999999746e-11	-8.395699919999999716e-10	6.530326927999999601e-09	7.778967838000000079e-09	-2.610782790999999784e-07	1.905299753999999949e-06	-4.373016612000000116e-07
7.000000000000000000e+00	1.808333332999999959e-02	1.500000000000000000e+00	4.930400162000000265e-11	6.355167786999999981e-11	-1.894395460000000035e-09	1.402429939000000002e-08	4.097811275000000342e-09	-4.083195360000000038e-07	2.900892566999999867e-06	-1.424963831000000102e-06
8.000000000000000000e+00	2.066666667000000013e-02	1.500000000000000000e+00	1.259485210999999915e-10	6.351559847999999380e-11	-9.601433767000000426e-09	6.845191241999999800e-08	-1.191867775999999957e-08	-2.983369666999999863e-06	2.106875343000000130e-05	-6.199931240000000379e-06
9.000000000000000000e+00	2.324999999999999983e-02	1.500000000000000000e+00	5.018279315000000117e-10	-9.076325442999999574e-12	-2.043593090999999947e-08	1.455017071999999876e-07	-2.810009957999999914e-08	-4.193998893999999582e-06	2.982572703000000144e-05	-6.263776188999999983e-06
1.000000000000000000e+01	2.583333332999999954e-02	1.500000000000000000e+00	1.027528648999999904e-09	-4.669865700999999760e-11	-5.473899601000000155e-08	3.965375361999999748e-07	-3.671672216999999928e-09	-1.327860583999999939e-05	9.717515959999999499e-05	9.456165432000000163e-06
1.100000000000000000e+01	2.841666667000000007e-02	1.500000000000000000e+00	2.891795547000000080e-09	1.889864915000000118e-11	-9.916258337000000099e-08	7.216517025999999572e-07	2.539250561000000053e-08	-1.719622736000000078e-05	1.258506449999999938e-04	1.125064947999999940e-05
1.200000000000000000e+01	3.099999999999999978e-02	1.499999998999999917e+00	5.017834102000000189e-09	6.669814758000000379e-11	-1.851606398000000005e-07	1.350758759999999955e-06	3.378826156000000252e-08	-3.328957024000000104e-05	2.435253123999999900e-04	3.249970044999999876e-06
1.300000000000000000e+01	3.358333332999999948e-02	1.499999998999999917e+00	1.054568333999999991e-08	1.737034231999999907e-10	-2.929928000999999927e-07	2.139812610000000039e-06	4.142139703000000278e-08	-4.174148140000000120e-05	3.054402001999999999e-04	2.954762118999999980e-06
