# ############################################################################### 
# # iteration, coord_time, wall_time, speed (hours^-1), period (minutes), cputime (cpu hours)
# 
6.400000000000000000e+01	1.653330000000000077e-01	6.968785050000000183e+02	1.144916000000000045e+00	5.240556999999999732e+01	1.732877999999999918e+00
1.280000000000000000e+02	3.306669999999999887e-01	1.220700438000000076e+03	1.136263999999999941e+00	5.280463000000000306e+01	3.478950999999999905e+00
1.920000000000000000e+02	4.959999999999999964e-01	1.739750344999999925e+03	1.146711000000000036e+00	5.232357900000000228e+01	5.209116999999999997e+00
2.560000000000000000e+02	6.613329999999999487e-01	2.247262748000000101e+03	1.172779000000000016e+00	5.116052400000000233e+01	6.900825000000000209e+00
3.200000000000000000e+02	8.266670000000000407e-01	2.717785909000000174e+03	1.264974999999999961e+00	4.743177000000000021e+01	8.469236000000000431e+00
3.840000000000000000e+02	9.919999999999999929e-01	3.166526123999999982e+03	1.326379999999999892e+00	4.523590899999999948e+01	9.965035999999999561e+00
4.480000000000000000e+02	1.157332999999999945e+00	3.629963720000000194e+03	1.284315000000000095e+00	4.671750000000000114e+01	1.150982800000000061e+01
5.120000000000000000e+02	1.322667000000000037e+00	4.128918061000000307e+03	1.192895000000000039e+00	5.029781700000000200e+01	1.317300900000000041e+01
5.760000000000000000e+02	1.487999999999999989e+00	4.616103567000000112e+03	1.221710999999999991e+00	4.911144199999999671e+01	1.479696099999999959e+01
6.400000000000000000e+02	1.653332999999999942e+00	5.105371339000000262e+03	1.216512000000000038e+00	4.932134800000000041e+01	1.642785399999999996e+01
7.040000000000000000e+02	1.818667000000000034e+00	5.625025748000000021e+03	1.145377000000000089e+00	5.238451700000000244e+01	1.816003500000000059e+01
7.680000000000000000e+02	1.983999999999999986e+00	6.155684385999999904e+03	1.121625000000000094e+00	5.349381400000000042e+01	1.992889699999999920e+01
8.320000000000000000e+02	2.149332999999999938e+00	6.684373811999999816e+03	1.125803000000000109e+00	5.329530499999999904e+01	2.169119500000000045e+01
8.960000000000000000e+02	2.314667000000000030e+00	7.233701035000000047e+03	1.083506999999999998e+00	5.537572800000000228e+01	2.352228600000000114e+01
9.600000000000000000e+02	2.479999999999999982e+00	7.747489118000000417e+03	1.158454000000000095e+00	5.179315400000000125e+01	2.523491299999999882e+01
1.024000000000000000e+03	2.645332999999999934e+00	8.257660082000000330e+03	1.166668000000000038e+00	5.142852500000000049e+01	2.693548300000000140e+01
1.088000000000000000e+03	2.810667000000000026e+00	8.783128705999999511e+03	1.132703000000000015e+00	5.297062700000000035e+01	2.868704500000000124e+01
1.152000000000000000e+03	2.975999999999999979e+00	9.329511475999999675e+03	1.089345999999999925e+00	5.507890799999999842e+01	3.050832099999999869e+01
1.216000000000000000e+03	3.141332999999999931e+00	9.876066903999999340e+03	1.089002000000000026e+00	5.509631300000000209e+01	3.233017199999999747e+01
1.280000000000000000e+03	3.306667000000000023e+00	1.041979269299999942e+04	1.094668999999999892e+00	5.481106700000000131e+01	3.414259100000000302e+01
1.344000000000000000e+03	3.471999999999999975e+00	1.096425294100000065e+04	1.093193000000000081e+00	5.488510600000000039e+01	3.595745900000000006e+01
1.408000000000000000e+03	3.637332999999999927e+00	1.150932855500000005e+04	1.091958999999999902e+00	5.494713899999999995e+01	3.777437799999999868e+01
1.472000000000000000e+03	3.802667000000000019e+00	1.204743211700000029e+04	1.106106999999999951e+00	5.424431100000000328e+01	3.956805599999999856e+01
1.536000000000000000e+03	3.967999999999999972e+00	1.258714398299999993e+04	1.102810999999999986e+00	5.440643800000000141e+01	4.136709599999999654e+01
1.600000000000000000e+03	4.133333000000000368e+00	1.309254137500000070e+04	1.177686999999999928e+00	5.094731800000000277e+01	4.305175400000000252e+01
1.664000000000000000e+03	4.298667000000000016e+00	1.354800143799999933e+04	1.306810999999999945e+00	4.591331300000000226e+01	4.456995400000000274e+01
1.728000000000000000e+03	4.464000000000000412e+00	1.400510559199999989e+04	1.302110000000000101e+00	4.607904800000000023e+01	4.609363400000000155e+01
1.792000000000000000e+03	4.629332999999999920e+00	1.447367919500000062e+04	1.270237999999999978e+00	4.723524199999999951e+01	4.765554600000000107e+01
1.856000000000000000e+03	4.794666999999999568e+00	1.498089694899999995e+04	1.173461000000000087e+00	5.113082200000000199e+01	4.934627199999999903e+01
1.920000000000000000e+03	4.959999999999999964e+00	1.548284254399999918e+04	1.185786000000000007e+00	5.059935399999999817e+01	5.101942400000000077e+01
1.984000000000000000e+03	5.125333000000000361e+00	1.599233796699999948e+04	1.168215000000000003e+00	5.136042599999999680e+01	5.271774200000000121e+01
2.048000000000000000e+03	5.290667000000000009e+00	1.651507950899999923e+04	1.138611999999999957e+00	5.269572000000000145e+01	5.446021400000000057e+01
2.112000000000000000e+03	5.456000000000000405e+00	1.704855610399999932e+04	1.115699999999999914e+00	5.377788300000000277e+01	5.623846999999999952e+01
2.176000000000000000e+03	5.621332999999999913e+00	1.759775262899999871e+04	1.083765000000000089e+00	5.536255299999999835e+01	5.806912499999999966e+01
2.240000000000000000e+03	5.786666999999999561e+00	1.815529210700000112e+04	1.067547999999999941e+00	5.620357599999999820e+01	5.992759000000000214e+01
2.304000000000000000e+03	5.951999999999999957e+00	1.863062769499999922e+04	1.252167999999999948e+00	4.791689399999999921e+01	6.151204100000000352e+01
2.368000000000000000e+03	6.117333000000000354e+00	1.910845298900000125e+04	1.245643999999999973e+00	4.816787200000000269e+01	6.310479200000000333e+01
2.432000000000000000e+03	6.282667000000000002e+00	1.959569704400000046e+04	1.221564000000000094e+00	4.911734400000000278e+01	6.472893899999999689e+01
