# ############################################################################### 
# # ShiftTracker1.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
3.200000000000000000e+01	8.266666666999999968e-02	-1.499999703999999934e+00	-2.083649010999999854e-06	-1.370501847999999987e-12	2.173585754999999924e-05	-1.527214993000000035e-04	-1.365193914999999984e-10	1.205492801999999896e-03	-8.462546302999999701e-03	-1.061430693999999952e-08
3.300000000000000000e+01	8.525000000000000633e-02	-1.499999639000000107e+00	-2.540294867000000177e-06	-1.804189584000000084e-12	2.516147898999999895e-05	-1.767661379000000073e-04	-1.678791235000000073e-10	1.326047012000000072e-03	-9.307602022999999364e-03	-1.213925110999999919e-08
3.400000000000000000e+01	8.783333332999999910e-02	-1.499999572999999975e+00	-2.999446911999999950e-06	-2.244300036000000109e-12	2.900322844999999922e-05	-2.037211898999999912e-04	-2.066974943000000118e-10	1.487128821000000076e-03	-1.043421368000000023e-02	-1.502646609999999970e-08
3.500000000000000000e+01	9.041666667000000657e-02	-1.499999486999999965e+00	-3.601761336999999801e-06	-2.892200920999999990e-12	3.319876489000000085e-05	-2.331539708000000084e-04	-2.508003426000000128e-10	1.624078623000000049e-03	-1.139333455000000016e-02	-1.707207033999999920e-08
3.600000000000000000e+01	9.299999999999999933e-02	-1.499999400999999954e+00	-4.206832204999999936e-06	-3.548447102000000172e-12	3.785229493000000098e-05	-2.657877831000000153e-04	-3.045945023000000093e-10	1.801366466000000081e-03	-1.263244347999999996e-02	-2.082354568000000115e-08
3.700000000000000000e+01	9.558333333000000598e-02	-1.499999290000000096e+00	-4.984909256000000028e-06	-4.492169595000000162e-12	4.290160550000000108e-05	-3.011911166000000241e-04	-3.653119327999999814e-10	1.954571835000000132e-03	-1.370451617000000011e-02	-2.350352148999999973e-08
3.800000000000000000e+01	9.816666666999999957e-02	-1.499999179000000016e+00	-5.766005302000000323e-06	-5.445383391999999760e-12	4.845259307999999699e-05	-3.401003791999999862e-04	-4.370515226999999830e-10	2.148769385999999785e-03	-1.506165003999999918e-02	-2.777016381000000062e-08
3.900000000000000000e+01	1.007500000000000062e-01	-1.499999038999999978e+00	-6.753014451999999881e-06	-6.781879484000000398e-12	5.444099806000000290e-05	-3.820680579000000090e-04	-5.173533257999999769e-10	2.318092250000000198e-03	-1.624555306000000088e-02	-3.108456893999999933e-08
4.000000000000000000e+01	1.033333332999999965e-01	-1.499998896999999998e+00	-7.743241517999999873e-06	-8.128738588999999496e-12	6.096531012000000254e-05	-4.277726722000000184e-04	-6.096895955000000187e-10	2.525540149999999998e-03	-1.769210874000000031e-02	-3.574307217000000316e-08
4.100000000000000000e+01	1.059166666999999951e-01	-1.499998721999999951e+00	-8.974997097000000419e-06	-9.968391050000000704e-12	6.796661138000000435e-05	-4.768086112999999921e-04	-7.121235335999999643e-10	2.710181135000000203e-03	-1.898165384999999858e-02	-3.965184699999999752e-08
4.200000000000000000e+01	1.084999999999999992e-01	-1.499998546000000044e+00	-1.021013417000000079e-05	-1.182060813000000043e-11	7.553239640000000428e-05	-5.297714490999999798e-04	-8.291486418999999697e-10	2.928690975999999856e-03	-2.050174369000000094e-02	-4.530004191999999681e-08
4.300000000000000000e+01	1.110833333000000034e-01	-1.499998329999999935e+00	-1.172477912000000045e-05	-1.429559897000000017e-11	8.361148561000000248e-05	-5.863141747999999929e-04	-9.580609685000000630e-10	3.127389369000000210e-03	-2.188750671000000078e-02	-4.990154578000000023e-08
