# ############################################################################### 
# # ProperDistance.asc
# # 1:it	2:time	3:distance
# 
8.500000000000000000e+01	2.195833332999999887e-01	1.655435218999999947e+01
8.600000000000000000e+01	2.221666666999999873e-01	1.655417694999999867e+01
8.700000000000000000e+01	2.247500000000000053e-01	1.655397943999999910e+01
8.800000000000000000e+01	2.273333332999999956e-01	1.655379587999999913e+01
8.900000000000000000e+01	2.299166666999999942e-01	1.655358926999999980e+01
9.000000000000000000e+01	2.325000000000000122e-01	1.655339697999999871e+01
9.100000000000000000e+01	2.350833333000000025e-01	1.655318090999999825e+01
9.200000000000000000e+01	2.376666667000000011e-01	1.655297934000000026e+01
9.300000000000000000e+01	2.402499999999999913e-01	1.655275316999999902e+01
9.400000000000000000e+01	2.428333333000000094e-01	1.655254210000000015e+01
9.500000000000000000e+01	2.454166667000000079e-01	1.655230583000000166e+01
9.600000000000000000e+01	2.479999999999999982e-01	1.655208482999999831e+01
9.700000000000000000e+01	2.505833332999999885e-01	1.655183794999999947e+01
9.800000000000000000e+01	2.531666666999999871e-01	1.655160679000000101e+01
9.900000000000000000e+01	2.557499999999999774e-01	1.655134915000000007e+01
1.000000000000000000e+02	2.583333333000000231e-01	1.655110720000000057e+01
1.010000000000000000e+02	2.609166667000000217e-01	1.655083803000000131e+01
1.020000000000000000e+02	2.635000000000000120e-01	1.655058512000000093e+01
1.030000000000000000e+02	2.660833333000000023e-01	1.655030431999999863e+01
1.040000000000000000e+02	2.686666667000000008e-01	1.655003995999999944e+01
1.050000000000000000e+02	2.712499999999999911e-01	1.654974727999999828e+01
1.060000000000000000e+02	2.738333332999999814e-01	1.654947123999999903e+01
1.070000000000000000e+02	2.764166666999999800e-01	1.654916599999999960e+01
1.080000000000000000e+02	2.790000000000000258e-01	1.654887783999999940e+01
1.090000000000000000e+02	2.815833333000000160e-01	1.654856004000000169e+01
1.100000000000000000e+02	2.841666667000000146e-01	1.654825934000000132e+01
1.110000000000000000e+02	2.867500000000000049e-01	1.654793161999999995e+01
1.120000000000000000e+02	2.893333332999999952e-01	1.654763306999999983e+01
1.130000000000000000e+02	2.919166666999999937e-01	1.654730457000000143e+01
1.140000000000000000e+02	2.944999999999999840e-01	1.654699476000000047e+01
1.150000000000000000e+02	2.970833332999999743e-01	1.654665462999999903e+01
1.160000000000000000e+02	2.996666666999999729e-01	1.654633340999999902e+01
1.170000000000000000e+02	3.022500000000000187e-01	1.654598136999999980e+01
1.180000000000000000e+02	3.048333333000000089e-01	1.654564807999999942e+01
1.190000000000000000e+02	3.074166667000000075e-01	1.654528372000000047e+01
1.200000000000000000e+02	3.099999999999999978e-01	1.654493833000000080e+01
1.210000000000000000e+02	3.125833332999999881e-01	1.654456156999999905e+01
1.220000000000000000e+02	3.151666666999999866e-01	1.654420378000000014e+01
1.230000000000000000e+02	3.177499999999999769e-01	1.654381405000000171e+01
1.240000000000000000e+02	3.203333333000000227e-01	1.654344370999999825e+01
1.250000000000000000e+02	3.229166667000000213e-01	1.654304116000000136e+01
1.260000000000000000e+02	3.255000000000000115e-01	1.654265812999999952e+01
1.270000000000000000e+02	3.280833333000000018e-01	1.654224227999999997e+01
1.280000000000000000e+02	3.306666667000000004e-01	1.654184628999999873e+01
1.290000000000000000e+02	3.332499999999999907e-01	1.654141746000000168e+01
1.300000000000000000e+02	3.358333332999999810e-01	1.654100856000000164e+01
1.310000000000000000e+02	3.384166666999999795e-01	1.654056634999999886e+01
1.320000000000000000e+02	3.410000000000000253e-01	1.654014442000000074e+01
1.330000000000000000e+02	3.435833333000000156e-01	1.653968940000000032e+01
1.340000000000000000e+02	3.461666667000000142e-01	1.653925459999999958e+01
1.350000000000000000e+02	3.487500000000000044e-01	1.653878639999999933e+01
1.360000000000000000e+02	3.513333332999999947e-01	1.653833919999999935e+01
1.370000000000000000e+02	3.539166666999999933e-01	1.653785858999999903e+01
1.380000000000000000e+02	3.564999999999999836e-01	1.653739902999999956e+01
1.390000000000000000e+02	3.590833332999999739e-01	1.653690609999999950e+01
1.400000000000000000e+02	3.616666666999999724e-01	1.653643539999999845e+01
1.410000000000000000e+02	3.642500000000000182e-01	1.653593097999999983e+01
1.420000000000000000e+02	3.668333333000000085e-01	1.653544902000000150e+01
1.430000000000000000e+02	3.694166667000000071e-01	1.653493462000000136e+01
1.440000000000000000e+02	3.719999999999999973e-01	1.653446398000000173e+01
1.450000000000000000e+02	3.745833332999999876e-01	1.653402035999999953e+01
1.460000000000000000e+02	3.771666666999999862e-01	1.653360109999999850e+01
1.470000000000000000e+02	3.797499999999999765e-01	1.653314937000000029e+01
1.480000000000000000e+02	3.823333333000000223e-01	1.653272146999999848e+01
1.490000000000000000e+02	3.849166667000000208e-01	1.653226160999999905e+01
1.500000000000000000e+02	3.875000000000000111e-01	1.653182487000000123e+01
1.510000000000000000e+02	3.900833333000000014e-01	1.653135540999999975e+01
1.520000000000000000e+02	3.926666666999999999e-01	1.653090986000000129e+01
1.530000000000000000e+02	3.952499999999999902e-01	1.653043053000000029e+01
1.540000000000000000e+02	3.978333332999999805e-01	1.652997464999999977e+01
1.550000000000000000e+02	4.004166666999999791e-01	1.652948530999999832e+01
1.560000000000000000e+02	4.030000000000000249e-01	1.652901852999999832e+01
1.570000000000000000e+02	4.055833333000000152e-01	1.652851824000000036e+01
1.580000000000000000e+02	4.081666667000000137e-01	1.652804013000000083e+01
1.590000000000000000e+02	4.107500000000000040e-01	1.652752771999999837e+01
1.600000000000000000e+02	4.133333332999999943e-01	1.652703799000000018e+01
1.610000000000000000e+02	4.159166666999999928e-01	1.652651300999999862e+01
1.620000000000000000e+02	4.184999999999999831e-01	1.652601145999999943e+01
1.630000000000000000e+02	4.210833332999999734e-01	1.652547377000000139e+01
1.640000000000000000e+02	4.236666667000000275e-01	1.652495805999999945e+01
1.650000000000000000e+02	4.262500000000000178e-01	1.652440666000000036e+01
1.660000000000000000e+02	4.288333333000000080e-01	1.652387630999999857e+01
1.670000000000000000e+02	4.314166667000000066e-01	1.652331052999999983e+01
1.680000000000000000e+02	4.339999999999999969e-01	1.652276512999999980e+01
1.690000000000000000e+02	4.365833332999999872e-01	1.652223748999999842e+01
1.700000000000000000e+02	4.391666666999999857e-01	1.652182489000000132e+01
1.710000000000000000e+02	4.417499999999999760e-01	1.652136653000000166e+01
1.720000000000000000e+02	4.443333333000000218e-01	1.652092263000000116e+01
1.730000000000000000e+02	4.469166667000000204e-01	1.652043880000000087e+01
1.740000000000000000e+02	4.495000000000000107e-01	1.651995352999999866e+01
1.750000000000000000e+02	4.520833333000000009e-01	1.651936371000000037e+01
1.760000000000000000e+02	4.546666666999999995e-01	1.651878350999999867e+01
1.770000000000000000e+02	4.572499999999999898e-01	1.651815961999999871e+01
1.780000000000000000e+02	4.598333332999999801e-01	1.651755036999999859e+01
