# # Time 	 Separation 	 Orbital Phase 
# 
9.558333333000000598e-02	2.999998276026852206e+00	4.230927941348011153e-06
9.816666666999999957e-02	2.999998016035620996e+00	4.873066034682430106e-06
1.007500000000000062e-01	2.999997691048340798e+00	5.676832309874286024e-06
1.033333332999999965e-01	2.999997363063044986e+00	6.482930694405257798e-06
1.059166666999999951e-01	2.999996961083854607e+00	7.476740106131741080e-06
1.084999999999999992e-01	2.999996557107689643e+00	8.472971280610611678e-06
1.110833333000000034e-01	2.999996067140685341e+00	9.684409989292071044e-06
1.136666667000000019e-01	2.999995574178166979e+00	1.089839066832754864e-05
1.162500000000000061e-01	2.999994984229032102e+00	1.235652316281118497e-05
1.188333332999999964e-01	2.999994393286385730e+00	1.381730845367017660e-05
1.214166666999999949e-01	2.999993691362834891e+00	1.555256554912472247e-05
1.239999999999999991e-01	2.999992987448459214e+00	1.729054347447072059e-05
1.265833332999999894e-01	2.999992160560747578e+00	1.933440316483108751e-05
1.291666666999999880e-01	2.999991332685744805e+00	2.138101197027916930e-05
1.317500000000000060e-01	2.999990367847237493e+00	2.376563983032852067e-05
1.343333332999999963e-01	2.999989402026007834e+00	2.615304184940081496e-05
1.369166666999999948e-01	2.999988285253826881e+00	2.891114501960321366e-05
1.395000000000000129e-01	2.999987167504738927e+00	3.167210820602194650e-05
1.420833333000000032e-01	2.999985887820519004e+00	3.483725064355870204e-05
1.446666667000000017e-01	2.999984605166686524e+00	3.800529570421443723e-05
1.472499999999999920e-01	2.999983144597388574e+00	4.161160496879513700e-05
1.498333333000000100e-01	2.999981684067494658e+00	4.522074406211280329e-05
1.524166667000000086e-01	2.999980030646192120e+00	4.930210656037886451e-05
1.549999999999999989e-01	2.999978376275315828e+00	5.338628387879761208e-05
1.575833332999999892e-01	2.999976516042127006e+00	5.797655501214224450e-05
1.601666666999999877e-01	2.999974654872692437e+00	6.256969446645606542e-05
1.627500000000000058e-01	2.999972572875841514e+00	6.770305394841805147e-05
1.653333332999999961e-01	2.999970490958669078e+00	7.283925015323259927e-05
1.679166666999999946e-01	2.999968174255470910e+00	7.854968068147800270e-05
1.705000000000000127e-01	2.999965856650800067e+00	8.426287040526557720e-05
1.730833333000000029e-01	2.999963290308667041e+00	9.058381019180270876e-05
1.756666667000000015e-01	2.999960723087193415e+00	9.690748016058368291e-05
1.782499999999999918e-01	2.999957893184790336e+00	1.038720171934265439e-04
1.808333333000000098e-01	2.999955063428811464e+00	1.108392783393597668e-04
1.834166667000000084e-01	2.999951957057265250e+00	1.184802611907084292e-04
1.859999999999999987e-01	2.999948849861890920e+00	1.261239224197853958e-04
1.885833332999999890e-01	2.999945451125935580e+00	1.344737193686799655e-04
1.911666666999999875e-01	2.999942052600252929e+00	1.428261092528887498e-04
1.937500000000000056e-01	2.999938351619320098e+00	1.519163113826321764e-04
1.963333332999999958e-01	2.999934647887501971e+00	1.610090272558030455e-04
1.989166666999999944e-01	2.999930628796869669e+00	1.708703901264653892e-04
2.015000000000000124e-01	2.999926607999302774e+00	1.807341889320197089e-04
2.040833333000000027e-01	2.999922257951220583e+00	1.913965623890612189e-04
2.066666667000000013e-01	2.999917908245619547e+00	2.020612781301655073e-04
2.092499999999999916e-01	2.999913215410350720e+00	2.135534596065954646e-04
2.118333333000000096e-01	2.999908521972823650e+00	2.250479075795252073e-04
2.144166667000000082e-01	2.999903475539781095e+00	2.373977261927250439e-04
2.169999999999999984e-01	2.999898427565955483e+00	2.497497691608101407e-04
2.195833332999999887e-01	2.999893014744954289e+00	2.629843095797286751e-04
2.221666666999999873e-01	2.999887601451211694e+00	2.762210296941252480e-04
2.247500000000000053e-01	2.999881810473637334e+00	2.903666639138486661e-04
2.273333332999999956e-01	2.999876019098269175e+00	3.045144038305492738e-04
2.299166666999999942e-01	2.999869838218056639e+00	3.195966284639381789e-04
2.325000000000000122e-01	2.999863657022257435e+00	3.346808615775891810e-04
2.350833333000000025e-01	2.999857074516735445e+00	3.507241098625856206e-04
2.376666667000000011e-01	2.999850492785428813e+00	3.667692595746180643e-04
2.402499999999999913e-01	2.999843499956075465e+00	3.837967601605847567e-04
2.428333333000000094e-01	2.999836506998652119e+00	4.008260667204625025e-04
2.454166667000000079e-01	2.999829092171890643e+00	4.188598532926216152e-04
2.479999999999999982e-01	2.999821678323002505e+00	4.368953851741269926e-04
