# # Time 	 R_dot 	 Theta_dot 
# 
1.265833332999999894e-01	-3.201381635168723278e-04	7.911717118221925707e-04
1.291666666999999880e-01	-3.461978970175782913e-04	8.555883514337529836e-04
1.317500000000000060e-01	-3.735089970956107105e-04	9.230820489099139702e-04
1.343333332999999963e-01	-4.021379985444606072e-04	9.937956584573927853e-04
1.369166666999999948e-01	-4.320493302045301650e-04	1.067653236555426511e-03
1.395000000000000129e-01	-4.633238246854962388e-04	1.144829845396234773e-03
1.420833333000000032e-01	-4.959117138422162703e-04	1.225216956971004936e-03
1.446666667000000017e-01	-5.298889379718742763e-04	1.308971829608437856e-03
1.472499999999999920e-01	-5.652063693858873925e-04	1.395991361255633336e-03
1.498333333000000100e-01	-6.018840490285844820e-04	1.486293255683716463e-03
1.524166667000000086e-01	-6.399164403623919814e-04	1.579883125744933371e-03
1.549999999999999989e-01	-6.793037886352304953e-04	1.676736808323115975e-03
1.575833332999999892e-01	-7.200508876396719080e-04	1.776880250403689967e-03
1.601666666999999877e-01	-7.621796469564426097e-04	1.880348292019468938e-03
1.627500000000000058e-01	-8.056724260667688957e-04	1.987108266604485033e-03
1.653333332999999961e-01	-8.505369283268031681e-04	2.097154558061697059e-03
1.679166666999999946e-01	-8.967685738572213350e-04	2.210490948288950253e-03
1.705000000000000127e-01	-9.443456561596276890e-04	2.327021666458860185e-03
1.730833333000000029e-01	-9.932858301277612371e-04	2.446817489883531746e-03
1.756666667000000015e-01	-1.043568916523934798e-03	2.569771713846304758e-03
1.782499999999999918e-01	-1.095207267543024145e-03	2.695952351998158643e-03
1.808333333000000098e-01	-1.148190278758892159e-03	2.825281769043466295e-03
1.834166667000000084e-01	-1.202521924875817874e-03	2.957802879652451401e-03
1.859999999999999987e-01	-1.258176116542827428e-03	3.093416536538121965e-03
1.885833332999999890e-01	-1.315168226823854643e-03	3.232183103399898037e-03
1.911666666999999875e-01	-1.373439048456212303e-03	3.373939564412489680e-03
1.937500000000000056e-01	-1.433026477017423396e-03	3.518792281925781952e-03
1.963333332999999958e-01	-1.493846640944152633e-03	3.666538753149901388e-03
1.989166666999999944e-01	-1.555951279428900236e-03	3.817306883127557105e-03
2.015000000000000124e-01	-1.619242342779289448e-03	3.970873927810333534e-03
2.040833333000000027e-01	-1.683778507718053504e-03	4.127376351982851160e-03
2.066666667000000013e-01	-1.749456428068959764e-03	4.286563908841493561e-03
2.092499999999999916e-01	-1.816338527159281312e-03	4.448593327032282149e-03
2.118333333000000096e-01	-1.884342874830458514e-03	4.613214072224627350e-03
2.144166667000000082e-01	-1.953517148058878192e-03	4.780582992643833684e-03
2.169999999999999984e-01	-2.023823646126830973e-03	4.950487906953868721e-03
2.195833332999999887e-01	-2.095279502519292042e-03	5.123057148593692343e-03
2.221666666999999873e-01	-2.167876765267457047e-03	5.298103468586963689e-03
2.247500000000000053e-01	-2.241613953521437528e-03	5.475739960907317558e-03
2.273333332999999956e-01	-2.316470277733287484e-03	5.655759678859955016e-03
2.299166666999999942e-01	-2.392454610269998620e-03	5.838292533219902394e-03
2.325000000000000122e-01	-2.469493285603910869e-03	6.023087152317189996e-03
2.350833333000000025e-01	-2.547630258004834891e-03	6.210303249678738972e-03
2.376666667000000011e-01	-2.626729434525134146e-03	6.399647483214448117e-03
2.402499999999999913e-01	-2.706874660976453864e-03	6.591305931339625640e-03
2.428333333000000094e-01	-2.787905666898396560e-03	6.784971205002001370e-03
2.454166667000000079e-01	-2.869919330867940106e-03	6.980837845762652774e-03
2.479999999999999982e-01	-2.952794532326497891e-03	7.178629831120931365e-03
2.505833332999999885e-01	-3.036598469948789247e-03	7.378519538724337759e-03
2.531666666999999871e-01	-3.121279895110946976e-03	7.580283318945213282e-03
2.557499999999999774e-01	-3.206858210384082048e-03	7.784058444111684877e-03
2.583333333000000231e-01	-3.293318268249921348e-03	7.989640869820537755e-03
2.609166667000000217e-01	-3.380657862824652891e-03	8.197157658398264782e-03
2.635000000000000120e-01	-3.468833336145856101e-03	8.406371395425422596e-03
2.660833333000000023e-01	-3.557865097416486235e-03	8.617435424629039942e-03
2.686666667000000008e-01	-3.647651886083808775e-03	8.830065832869994982e-03
2.712499999999999911e-01	-3.738253278747590957e-03	9.044447883953773623e-03
2.738333332999999814e-01	-3.829542474402872470e-03	9.260283152106030258e-03
2.764166666999999800e-01	-3.921592457111556726e-03	9.477763478247924062e-03
2.790000000000000258e-01	-4.014299223750837121e-03	9.696602187502692538e-03
2.815833333000000160e-01	-4.107716156022784074e-03	9.916981380333554641e-03
2.841666667000000146e-01	-4.201776307150643409e-03	1.013863089872401452e-02
2.867500000000000049e-01	-4.296508145670151387e-03	1.036172439008298772e-02
2.893333332999999952e-01	-4.391871544912378557e-03	1.058602327557941515e-02
2.919166666999999937e-01	-4.487879637980733520e-03	1.081168257104753692e-02
2.944999999999999840e-01	-4.584507113200236329e-03	1.103850417858780880e-02
2.970833332999999743e-01	-4.681757457820760401e-03	1.126661529358202914e-02
2.996666666999999729e-01	-4.779591351088420190e-03	1.149580733017060291e-02
3.022500000000000187e-01	-4.878020596016054491e-03	1.172621591215288611e-02
3.048333333000000089e-01	-4.976957363542486648e-03	1.195755758059751164e-02
3.074166667000000075e-01	-5.076446967232665572e-03	1.219002336160399450e-02
3.099999999999999978e-01	-5.176373976318332341e-03	1.242328903793388749e-02
3.125833332999999881e-01	-5.276801646526196529e-03	1.265757319467282829e-02
3.151666666999999866e-01	-5.377654008410792837e-03	1.289261359638269391e-02
3.177499999999999769e-01	-5.478962738796031712e-03	1.312858061079518954e-02
3.203333333000000227e-01	-5.580705842232741923e-03	1.336529356649536308e-02
3.229166667000000213e-01	-5.682876349120688855e-03	1.360286678863732723e-02
3.255000000000000115e-01	-5.785451092482371202e-03	1.384111847022785960e-02
3.280833333000000018e-01	-5.888428698849774295e-03	1.408017246952582638e-02
3.306666667000000004e-01	-5.991758198627360026e-03	1.431979951243357238e-02
3.332499999999999907e-01	-6.095459959854337625e-03	1.456016157190050467e-02
3.358333332999999810e-01	-6.199484598852702567e-03	1.480102377699567262e-02
3.384166666999999795e-01	-6.303847758307830167e-03	1.504254830081678575e-02
3.410000000000000253e-01	-6.408516258145681432e-03	1.528452593425198326e-02
3.435833333000000156e-01	-6.513491988737825714e-03	1.552709739900278926e-02
3.461666667000000142e-01	-6.618740142994999215e-03	1.577004530469254887e-02
3.487500000000000044e-01	-6.724265050327373448e-03	1.601351864483381918e-02
3.513333332999999947e-01	-6.830027237439780310e-03	1.625726490286922080e-02
3.539166666999999933e-01	-6.936034328222592978e-03	1.650146080329723333e-02
3.564999999999999836e-01	-7.042258555848383839e-03	1.674585748871005100e-02
3.590833332999999739e-01	-7.148698581590624823e-03	1.699062861967758076e-02
3.616666666999999724e-01	-7.255340029372081903e-03	1.723557888594609913e-02
3.642500000000000182e-01	-7.362171814739713882e-03	1.748084330978327133e-02
3.668333333000000085e-01	-7.469176631297974947e-03	1.772627162918349875e-02
3.694166667000000071e-01	-7.576346013042282827e-03	1.797197058752603854e-02
3.719999999999999973e-01	-7.683657057097844668e-03	1.821778338578247322e-02
3.745833332999999876e-01	-7.791104909805910382e-03	1.846382663031758548e-02
3.771666666999999862e-01	-7.898672588027091240e-03	1.870991071988883231e-02
3.797499999999999765e-01	-8.006350040820979161e-03	1.895617681690936127e-02
3.823333333000000223e-01	-8.114132086264359833e-03	1.920242201152362951e-02
3.849166667000000208e-01	-8.222000406273867121e-03	1.944879493171599444e-02
3.875000000000000111e-01	-8.329958197525277538e-03	1.969510858964864525e-02
3.900833333000000014e-01	-8.437981857339269670e-03	1.994149922994356561e-02
3.926666666999999999e-01	-8.546079940233316380e-03	2.018779799703751543e-02
3.952499999999999902e-01	-8.654224933711988227e-03	2.043412945483247256e-02
3.978333332999999805e-01	-8.762425762710975008e-03	2.068032027894345024e-02
4.004166666999999791e-01	-8.870653843718918560e-03	2.092650028638681423e-02
4.030000000000000249e-01	-8.978908104997955497e-03	2.117247884384287557e-02
4.055833333000000152e-01	-9.087166846105491913e-03	2.141839899895369229e-02
4.081666667000000137e-01	-9.195420157345556011e-03	2.166406478133843516e-02
4.107500000000000040e-01	-9.303652252694853686e-03	2.190962215423124249e-02
4.133333332999999943e-01	-9.411860299397922444e-03	2.215488112947846047e-02
4.159166666999999928e-01	-9.520022068446572575e-03	2.239998296521443499e-02
4.184999999999999831e-01	-9.628150555250378911e-03	2.264474281596101993e-02
4.210833332999999734e-01	-9.736212244073616517e-03	2.288930008135286326e-02
4.236666667000000275e-01	-9.844233890229595746e-03	2.313348088299476205e-02
4.262500000000000178e-01	-9.952173668621585104e-03	2.337741856926783823e-02
4.288333333000000080e-01	-1.006006775335924371e-02	2.362095662438690527e-02
4.314166667000000066e-01	-1.016786830911641133e-02	2.386421671900616770e-02
4.339999999999999969e-01	-1.027561534736066116e-02	2.410704890429437447e-02
4.365833332999999872e-01	-1.038325887611349536e-02	2.434957227045614694e-02
4.391666666999999857e-01	-1.049084034289266346e-02	2.459163785791715004e-02
4.417499999999999760e-01	-1.059830865411484115e-02	2.483336687482476379e-02
4.443333333000000218e-01	-1.070570609207738104e-02	2.507462774315249651e-02
4.469166667000000204e-01	-1.081298074325936012e-02	2.531553017023251140e-02
4.495000000000000107e-01	-1.092017646844534347e-02	2.555596520451022119e-02
4.520833333000000009e-01	-1.102723942214844759e-02	2.579602691952132335e-02
4.546666666999999995e-01	-1.113420915018919349e-02	2.603560710350183785e-02
4.572499999999999898e-01	-1.124103375054810901e-02	2.627480159692820866e-02
4.598333332999999801e-01	-1.134773924121962319e-02	2.651348971608968874e-02
4.624166666999999786e-01	-1.145428315108437331e-02	2.675177790655225776e-02
4.650000000000000244e-01	-1.156068411267817571e-02	2.698954175201649652e-02
4.675833333000000147e-01	-1.166690418941888040e-02	2.722688945522749523e-02
4.701666667000000133e-01	-1.177296955280660896e-02	2.746369342887351739e-02
4.727500000000000036e-01	-1.187883495525420344e-02	2.770006271088204172e-02
4.753333332999999938e-01	-1.198452917937103263e-02	2.793585411714322869e-02
4.779166666999999924e-01	-1.209000442036658497e-02	2.817118776951417491e-02
4.804999999999999827e-01	-1.219527968553035975e-02	2.840590668722552808e-02
4.830833332999999730e-01	-1.230031534574851752e-02	2.864014083415768186e-02
4.856666667000000270e-01	-1.240513240438822010e-02	2.887373287891337181e-02
4.882500000000000173e-01	-1.250968980397867969e-02	2.910681226601742957e-02
4.908333333000000076e-01	-1.261403148011118122e-02	2.933922364248660319e-02
4.934166667000000062e-01	-1.271809959236531139e-02	2.957109489322099286e-02
4.959999999999999964e-01	-1.282195972695433783e-02	2.980226996978137602e-02
4.985833332999999867e-01	-1.292553939503472867e-02	3.003287783118923152e-02
5.011666666999999853e-01	-1.302890724948942321e-02	3.026276824919780367e-02
5.037500000000000311e-01	-1.313199102360525054e-02	3.049206695052594437e-02
5.063333332999999659e-01	-1.323486301088861589e-02	3.072063842884999174e-02
5.089166667000000199e-01	-1.333745029287826053e-02	3.094859951096486442e-02
5.114999999999999547e-01	-1.343984169830018602e-02	3.117583079441236735e-02
5.140833333000000005e-01	-1.354195191893004316e-02	3.140243978802648162e-02
5.166666667000000546e-01	-1.364387933280238746e-02	3.162832321995205642e-02
5.192499999999999893e-01	-1.374553185963474367e-02	3.185357849890092102e-02
5.218333333000000351e-01	-1.384699709962015392e-02	3.207811467941452943e-02
5.244166666999999782e-01	-1.394819151119376655e-02	3.230202157555307763e-02
5.270000000000000240e-01	-1.404918730151167097e-02	3.252520808866950219e-02
5.295833332999999588e-01	-1.414991142066321719e-02	3.274776590488741312e-02
5.321666667000000128e-01	-1.425042818296201608e-02	3.296959819679588788e-02
5.347499999999999476e-01	-1.435066777666370481e-02	3.319080170404443281e-02
5.373333332999999934e-01	-1.445068602064760940e-02	3.341128250165673053e-02
5.399166667000000475e-01	-1.455041812419599449e-02	3.363113484269619063e-02
5.424999999999999822e-01	-1.464991142392403287e-02	3.385026877082650959e-02
5.450833333000000280e-01	-1.474910603055751800e-02	3.406877506801646999e-02
5.476666666999999711e-01	-1.484804271898314439e-02	3.428655074975267558e-02
5.502500000000000169e-01	-1.494666565025073134e-02	3.450369624469849794e-02
5.528333332999999516e-01	-1.504502162722337957e-02	3.472008679947781451e-02
5.554166667000000057e-01	-1.514305050302247428e-02	3.493583821901827952e-02
5.580000000000000515e-01	-1.524081588924323244e-02	3.515081944312695855e-02
5.605833332999999863e-01	-1.533824511543226132e-02	3.536514928884103987e-02
5.631666667000000404e-01	-1.543541226943556492e-02	3.557870703811768370e-02
5.657499999999999751e-01	-1.553223946529010482e-02	3.579160313552571387e-02
5.683333333000000209e-01	-1.562880813541171060e-02	3.600372249244493394e-02
5.709166666999999640e-01	-1.572503633845585488e-02	3.621517222747266257e-02
5.735000000000000098e-01	-1.582101023926270680e-02	3.642582899379288169e-02
5.760833332999999445e-01	-1.591664442099235272e-02	3.663580714332372035e-02
5.786666666999999986e-01	-1.601202636918667987e-02	3.684497827559748279e-02
5.812500000000000444e-01	-1.610707070467824395e-02	3.705346087705053276e-02
5.838333332999999792e-01	-1.620186956625870381e-02	3.726113915591881820e-02
5.864166667000000333e-01	-1.629633397158295957e-02	3.746812276251346163e-02
5.889999999999999680e-01	-1.639055459453415964e-02	3.767431495604826180e-02
5.915833333000000138e-01	-1.648444349859487165e-02	3.787981278533508050e-02
5.941666666999999569e-01	-1.657808295087602468e-02	3.808452652496175511e-02
5.967500000000000027e-01	-1.667139151615620180e-02	3.828854990884834886e-02
5.993333333000000485e-01	-1.676444777067725295e-02	3.849178828943983222e-02
6.019166666999999915e-01	-1.685717113028286501e-02	3.869433947844008043e-02
6.045000000000000373e-01	-1.694963893598560450e-02	3.889610467377156017e-02
6.070833332999999721e-01	-1.704177143080353243e-02	3.909718439626742176e-02
6.096666667000000261e-01	-1.713364592349230636e-02	3.929748237815289952e-02
6.122499999999999609e-01	-1.722518250261494827e-02	3.949709668345260938e-02
6.148333333000000067e-01	-1.731645694155541440e-02	3.969593299408728793e-02
6.174166666999999498e-01	-1.740739032459907507e-02	3.989408776827955971e-02
6.199999999999999956e-01	-1.749805456006031656e-02	4.009146261349385426e-02
6.225833333000000414e-01	-1.758837401004856651e-02	4.028815768997599106e-02
6.251666666999999844e-01	-1.767842153152312384e-02	4.048406902269063162e-02
6.277500000000000302e-01	-1.776812053920892587e-02	4.067930131671856908e-02
6.303333332999999650e-01	-1.785755010419897912e-02	4.087374910578836507e-02
6.329166667000000190e-01	-1.794662936530499325e-02	4.106751818609904320e-02
6.354999999999999538e-01	-1.803544369840661202e-02	4.126050331972114238e-02
6.380833332999999996e-01	-1.812390861892783714e-02	4.145281006794148543e-02
6.406666667000000537e-01	-1.821211310367169475e-02	4.164433195065623400e-02
6.432499999999999885e-01	-1.829997025890242601e-02	4.183517542273251094e-02
6.458333333000000342e-01	-1.838756999850657201e-02	4.202523419934173221e-02
6.484166666999999773e-01	-1.847482511413534728e-02	4.221461482937909071e-02
6.510000000000000231e-01	-1.856182541448040541e-02	4.240321488667591482e-02
6.535833332999999579e-01	-1.864848345437823338e-02	4.259113801079780076e-02
6.561666667000000119e-01	-1.873488660127827291e-02	4.277828571889633058e-02
6.587499999999999467e-01	-1.882094921309448998e-02	4.296475883304508997e-02
6.613333332999999925e-01	-1.890675697398021965e-02	4.315046123526154742e-02
6.639166667000000466e-01	-1.899222531986248519e-02	4.333549218774784134e-02
6.664999999999999813e-01	-1.907744012786917118e-02	4.351975711998950364e-02
6.690833333000000271e-01	-1.916231682481268905e-02	4.370335467533919410e-02
6.716666666999999702e-01	-1.924694221677341818e-02	4.388619217069233275e-02
6.742500000000000160e-01	-1.933123135416939600e-02	4.406836736651758429e-02
6.768333332999999508e-01	-1.941527099310539489e-02	4.424978881711531115e-02
6.794166667000000048e-01	-1.949897641227974973e-02	4.443055387036824039e-02
6.820000000000000506e-01	-1.958243160838614785e-02	4.461057152605770598e-02
6.845833332999999854e-01	-1.966555355716515657e-02	4.478993916314910617e-02
6.871666667000000395e-01	-1.974842138330563934e-02	4.496856515359760192e-02
6.897499999999999742e-01	-1.983095596114975434e-02	4.514654772444829517e-02
6.923333333000000200e-01	-1.991323303369599632e-02	4.532379206487129747e-02
6.949166666999999631e-01	-1.999517514480850938e-02	4.550039874362668546e-02
6.975000000000000089e-01	-2.007685404379587826e-02	4.567626642045493485e-02
7.000833333000000547e-01	-2.015819451303222862e-02	4.585149988178381653e-02
7.026666666999999977e-01	-2.023926501587607757e-02	4.602598999985917094e-02
7.052500000000000435e-01	-2.031999223363506121e-02	4.619984628370827490e-02
7.078333332999999783e-01	-2.040044447216748935e-02	4.637295756138848368e-02
7.104166667000000324e-01	-2.048054892737798810e-02	4.654543423498657545e-02
7.129999999999999671e-01	-2.056037964386656439e-02	4.671717111554537366e-02
7.155833333000000129e-01	-2.063985990067758111e-02	4.688827413721025072e-02
7.181666666999999560e-01	-2.071907282791939434e-02	4.705864615533814077e-02
7.207500000000000018e-01	-2.079793615182038910e-02	4.722838795588470834e-02
7.233333333000000476e-01	-2.087654369955942862e-02	4.739740636027008763e-02
7.259166666999999906e-01	-2.095480667534533117e-02	4.756580030536063097e-02
7.285000000000000364e-01	-2.103282448628364040e-02	4.773347645883681961e-02
7.310833332999999712e-01	-2.111050523914114255e-02	4.790053461081707209e-02
7.336666667000000253e-01	-2.118794642554827287e-02	4.806688078558360444e-02
7.362499999999999600e-01	-2.126505833686900132e-02	4.823261558942008170e-02
7.388333333000000058e-01	-2.134193556704461203e-02	4.839764604151636923e-02
7.414166666999999489e-01	-2.141849063452346338e-02	4.856207183326453902e-02
7.439999999999999947e-01	-2.149481825122608741e-02	4.872579954156968512e-02
7.465833333000000405e-01	-2.157083030756322059e-02	4.888892892949305014e-02
7.491666666999999835e-01	-2.164661947219269356e-02	4.905136310823685758e-02
7.517500000000000293e-01	-2.172209891731720008e-02	4.921320401664568134e-02
7.543333332999999641e-01	-2.179735559044698734e-02	4.937435171452251442e-02
7.569166667000000182e-01	-2.187230669520483922e-02	4.953490999856728638e-02
7.594999999999999529e-01	-2.194703033717199450e-02	4.969478031991389488e-02
7.620833332999999987e-01	-2.202145001138468630e-02	4.985406529819476351e-02
7.646666667000000528e-01	-2.209563828172955019e-02	5.001267110768260055e-02
7.672499999999999876e-01	-2.216952254708104419e-02	5.017069694386739470e-02
7.698333333000000334e-01	-2.224318174881255439e-02	5.032805239523117924e-02
7.724166666999999764e-01	-2.231653761605495445e-02	5.048483449489798991e-02
7.750000000000000222e-01	-2.238967091123175365e-02	5.064095042527574919e-02
7.775833332999999570e-01	-2.246250243016712639e-02	5.079649955180400023e-02
7.801666667000000110e-01	-2.253510700503638317e-02	5.095138446364750467e-02
7.827499999999999458e-01	-2.260741071089694687e-02	5.110570802013733593e-02
7.853333332999999916e-01	-2.267948492121711623e-02	5.125937129905974027e-02
7.879166667000000457e-01	-2.275125735589113990e-02	5.141247786027505762e-02
7.904999999999999805e-01	-2.282280108092814633e-02	5.156492965441597520e-02
7.930833333000000263e-01	-2.289404262007548735e-02	5.171682953529681270e-02
7.956666666999999693e-01	-2.296506146212908689e-02	5.186808050531734743e-02
7.982500000000000151e-01	-2.303578002128306434e-02	5.201878472869056469e-02
8.008333332999999499e-01	-2.310628379368665636e-02	5.216884468083683724e-02
8.034166667000000039e-01	-2.317649113408319639e-02	5.231836294444703467e-02
8.060000000000000497e-01	-2.324648273076583560e-02	5.246723988047885534e-02
8.085833332999999845e-01	-2.331618109370435857e-02	5.261557959412972718e-02
8.111666667000000386e-01	-2.338566057515160251e-02	5.276328266505105752e-02
8.137499999999999734e-01	-2.345484918491266835e-02	5.291045311979526017e-02
8.163333333000000192e-01	-2.352382580784375191e-02	5.305699535982352777e-02
8.189166666999999622e-01	-2.359251387793915439e-02	5.320301043676208680e-02
8.215000000000000080e-01	-2.366099366568394022e-02	5.334840597935104622e-02
8.240833333000000538e-01	-2.372918907263493402e-02	5.349328069546977621e-02
8.266666666999999968e-01	-2.379717811275114392e-02	5.363754247878722153e-02
8.292500000000000426e-01	-2.386488630286339591e-02	5.378129037976064897e-02
8.318333332999999774e-01	-2.393238787617345611e-02	5.392443053579775575e-02
8.344166667000000315e-01	-2.399961071438275889e-02	5.406706333276636856e-02
8.369999999999999662e-01	-2.406662544658514508e-02	5.420909420742141271e-02
8.395833333000000120e-01	-2.413336301871528075e-02	5.435062392403497422e-02
8.421666666999999551e-01	-2.419989774192374959e-02	5.449155842162680535e-02
8.447500000000000009e-01	-2.426615698883967387e-02	5.463199794961076661e-02
8.473333333000000467e-01	-2.433221634408643322e-02	5.477184743440870890e-02
8.499166666999999897e-01	-2.439800326674150879e-02	5.491120782693662689e-02
8.525000000000000355e-01	-2.446359479054230346e-02	5.504998142855120624e-02
8.550833332999999703e-01	-2.452891800307360065e-02	5.518827115499778946e-02
8.576666667000000244e-01	-2.459405065897090487e-02	5.532597671373106624e-02
8.602499999999999591e-01	-2.465891886205280256e-02	5.546320264596520111e-02
8.628333333000000049e-01	-2.472359839941593723e-02	5.559984684509400310e-02
8.654166666999999480e-01	-2.478801762443372594e-02	5.573601484954003593e-02
8.679999999999999938e-01	-2.485225078645763794e-02	5.587160411846647107e-02
8.705833333000000396e-01	-2.491622753734712425e-02	5.600672032019412411e-02
8.731666666999999826e-01	-2.498001994762132083e-02	5.614126116236314856e-02
8.757500000000000284e-01	-2.504355878332753527e-02	5.627533218480763877e-02
8.783333332999999632e-01	-2.510691170467655234e-02	5.640883270556103918e-02
8.809166667000000173e-01	-2.517001315214999202e-02	5.654186714809384534e-02
8.834999999999999520e-01	-2.523292867386934049e-02	5.667433655145381888e-02
8.860833332999999978e-01	-2.529559411511381889e-02	5.680634409808529156e-02
8.886666667000000519e-01	-2.535807269575723888e-02	5.693779103035091771e-02
8.912499999999999867e-01	-2.542030200089567468e-02	5.706878051570191818e-02
8.938333333000000325e-01	-2.548234805170968703e-02	5.719921422562465607e-02
8.964166666999999755e-01	-2.554414640036729162e-02	5.732919496790340325e-02
8.990000000000000213e-01	-2.560576054004547533e-02	5.745862399395151865e-02
9.015833332999999561e-01	-2.566712811118620693e-02	5.758760440163280397e-02
9.041666667000000102e-01	-2.572831261724314866e-02	5.771603804774193269e-02
9.067499999999999449e-01	-2.578925254927987021e-02	5.784402775657408735e-02
9.093333332999999907e-01	-2.585001753316526485e-02	5.797147658632685607e-02
9.119166667000000448e-01	-2.591054054491256919e-02	5.809848643198285006e-02
9.144999999999999796e-01	-2.597088880433406910e-02	5.822496091314020156e-02
9.170833333000000254e-01	-2.603099849063192361e-02	5.835100192675473502e-02
9.196666666999999684e-01	-2.609093560157689506e-02	5.847651446895246047e-02
9.222500000000000142e-01	-2.615063762048543822e-02	5.860159920020286545e-02
9.248333332999999490e-01	-2.621017397947979222e-02	5.872616182625634007e-02
